"","hID","Population","Categorie","long_h","lat_h","pID","long_pop","lat_pop"
"1",1,73.724956035614,"DISP",-71.8106291421,19.4975209896,1,-71.8340770843128,19.5380959456977
"2",1,91.7088534037272,"DISP",-71.8106291421,19.4975209896,2,-71.8150420189272,19.537761110934
"3",1,132.377488613129,"DISP",-71.8106291421,19.4975209896,3,-71.8153960549615,19.5197148465322
"4",1,2.59140777587891,"DISP",-71.8106291421,19.4975209896,4,-71.8545094969551,19.4662408097095
"5",1,172.259279727936,"DISP",-71.8106291421,19.4975209896,5,-71.7776891722117,19.5009942185733
"6",1,114.835283041,"DISP",-71.8106291421,19.4975209896,6,-71.8344290130776,19.5200493476055
"7",1,22.021014213562,"DISP",-71.8106291421,19.4975209896,7,-71.8351316990453,19.4839560252385
"8",1,6.47851943969727,"DISP",-71.8106291421,19.4975209896,8,-71.8541608398192,19.4842878653996
"9",1,162.663758993149,"DISP",-71.8106291421,19.4975209896,9,-71.7967192376137,19.5013323769715
"10",1,36.9822278022766,"DISP",-71.8106291421,19.4975209896,10,-71.8347805512557,19.5020027074406
"11",1,157.764952272177,"DISP",-71.8106291421,19.4975209896,11,-71.8157496980732,19.5016685399863
"12",1,86.5902137756348,"DISP",-71.8106291421,19.4975209896,12,-71.797074590402,19.4832863638549
"13",1,111.523500680923,"DISP",-71.8106291421,19.4975209896,13,-71.8161029484617,19.4836221913316
"14",1,203.064170360565,"DISP",-71.8106291421,19.4975209896,14,-71.796363489768,19.5193783479075
"15",1,55.6365375518799,"DISP",-71.8106291421,19.4975209896,15,-71.7780466271993,19.4829485429851
"16",10,1707.8597984314,"DISP",-72.5123676018,18.5467719712,16,-72.5156340094807,18.537300515029
"17",100,3308.6387052536,"C/S",-72.2269395384,19.716859845,17,-72.2308049875854,19.7251944864421
"18",100,212.659332275391,"C/S",-72.2269395384,19.716859845,18,-72.2311160439643,19.7071417497386
"19",1005,29.3593425750732,"CSL",-72.254570786,18.480860066,19,-72.2325495031476,18.4791855265431
"20",1007,362.828965504964,"DISP",-72.2896647955,18.4043120675,20,-72.3291160816412,18.3541479747699
"21",1007,175.158810933431,"DISP",-72.2896647955,18.4043120675,21,-72.3102063616102,18.3538817897528
"22",1009,1454.41223239899,"DISP",-72.2896647955,18.4043120675,22,-72.2723878954352,18.3533438014854
"23",101,3372.69183349609,"DISP",-72.2660419962,19.7105445017,23,-72.2692408452265,19.707726555112
"24",1010,99.5519280433655,"DISP",-72.2896647955,18.4043120675,24,-72.2910151017212,18.3716700204083
"25",1010,93.8350772857666,"DISP",-72.2896647955,18.4043120675,25,-72.2912969654521,18.3536137319446
"26",1011,45.734806060791,"DISP",-72.2896647955,18.4043120675,26,-72.272104069983,18.3713998059689
"27",1012,247.577569007874,"DISP",-72.2896647955,18.4043120675,27,-72.2534791538274,18.3530719985163
"28",1013,45.734806060791,"DISP",-72.2896647955,18.4043120675,28,-72.2531933668118,18.3711277170505
"29",1013,129.698453068733,"DISP",-72.2896647955,18.4043120675,29,-72.2718199159639,18.389455772008
"30",102,646.036369085312,"DISP",-72.2585898123,19.6162042944,30,-72.2707697035257,19.6174593644945
"31",102,34.2655110359192,"DISP",-72.2585898123,19.6162042944,31,-72.252331190334,19.581062828456
"32",102,246.711679458618,"DISP",-72.2585898123,19.6162042944,32,-72.2520246512214,19.599116141508
"33",102,683.741808772087,"DISP",-72.2585898123,19.6162042944,33,-72.2517177722849,19.6171694138187
"34",102,128.390374183655,"DISP",-72.2585898123,19.6162042944,34,-72.2713788820868,19.5813522030257
"35",102,314.230997562408,"DISP",-72.2585898123,19.6162042944,35,-72.271074461545,19.5994058040997
"36",102,746.894346872965,"DISP",-72.2585898123,19.6162042944,36,-72.2514105533509,19.6352226453546
"37",1024,122.247705459595,"CSL",-72.4110972953,18.4660248434,37,-72.3842101182375,18.4632807923215
"38",1024,915.83130645752,"CSL",-72.4110972953,18.4660248434,38,-72.4409794646062,18.4640561150641
"39",1027,107.320732355118,"CSL",-72.254570786,18.480860066,39,-72.2517594660118,18.4614057315119
"40",1029,131.369108200073,"CSL",-72.2896647955,18.4043120675,40,-72.3096462338755,18.3899948923712
"41",1029,131.369108200073,"CSL",-72.2896647955,18.4043120675,41,-72.2907329116924,18.3897262704845
"42",1029,49.5326457023621,"CSL",-72.2896647955,18.4043120675,42,-72.2715354332199,18.4075116995686
"43",1029,300.272247314453,"CSL",-72.2896647955,18.4043120675,43,-72.3099264597571,18.3719383602274
"44",103,2092.70329093933,"C/S",-72.2525979947,19.7184198075,44,-72.250178274161,19.7074351630829
"45",1030,154.247088114421,"CAL",-72.5293996671,18.8855253555,45,-72.5287926907783,18.9348471422914
"46",1030,378.201994895935,"CAL",-72.5293996671,18.8855253555,46,-72.4911084730172,18.9162793710307
"47",1030,142.381927490234,"CAL",-72.5293996671,18.8855253555,47,-72.4919156911446,18.8621048522037
"48",1030,160.179668426514,"CAL",-72.5293996671,18.8855253555,48,-72.5100832376459,18.9165349157308
"49",1030,88.7825206120809,"CAL",-72.5293996671,18.8855253555,49,-72.5290583057297,18.9167885248707
"50",1030,117.093958854675,"CAL",-72.5293996671,18.8855253555,50,-72.5675315441293,18.8811715573121
"51",1030,68.3048093318939,"CAL",-72.5293996671,18.8855253555,51,-72.5485599389553,18.8809223316081
"52",1030,39.7070512771606,"CAL",-72.5293996671,18.8855253555,52,-72.529588632331,18.8806711740453
"53",1030,79.4141025543213,"CAL",-72.5293996671,18.8855253555,53,-72.529853344278,18.8626124407062
